idx,event_name,sky_map_path,source_format,source_group,source_nside,source_ordering,common_nside,map_ra,map_dec,map_max_prob,map_area90_deg2
10,GW230630_234532,data/gwtc4p1/pe_hdf5/GW230630_234532/IGWN-GWTC4p1-18965dda8_5-GW230630_234532-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,3.7997364310190473,0.9299732575363898,3.578121685723199e-05,1516.1184002579407
11,GW230702_185453,data/gwtc4p1/pe_hdf5/GW230702_185453/IGWN-GWTC4p1-18965dda8_5-GW230702_185453-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,0.7401202204964867,0.835097955661602,1.9418883312053526e-05,2443.013319688023
12,GW230704_021211,data/gwtc4p1/pe_hdf5/GW230704_021211/IGWN-GWTC4p1-18965dda8_5-GW230704_021211-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,6.175806652027591,-0.48640166237900173,2.5764298690012827e-05,1566.239967632895
13,GW230704_212616,data/gwtc4p1/pe_hdf5/GW230704_212616/IGWN-GWTC4p1-18965dda8_5-GW230704_212616-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,128,RING,512,0.545494724396046,-1.1286557612125199,5.599875293660944e-06,7325.748354299257
14,GW230706_104333,data/gwtc4p1/pe_hdf5/GW230706_104333/IGWN-GWTC4p1-18965dda8_5-GW230706_104333-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,3.3026606363177855,0.20188952295307283,3.9517486581466215e-05,1472.0817118107673
15,GW230707_124047,data/gwtc4p1/pe_hdf5/GW230707_124047/IGWN-GWTC4p1-18965dda8_5-GW230707_124047-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,3.9762492383849906,1.1090198046419295,1.5850668208986474e-05,2992.2916685891123
16,GW230708_053705,data/gwtc4p1/pe_hdf5/GW230708_053705/IGWN-GWTC4p1-18965dda8_5-GW230708_053705-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,5.5898259910552754,0.5708703387884199,2.675552059655852e-05,1988.2997594684605
17,GW230708_230935,data/gwtc4p1/pe_hdf5/GW230708_230935/IGWN-GWTC4p1-18965dda8_5-GW230708_230935-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,5.321505391676899,-0.7523808328534742,2.0139234038510964e-05,2562.1799033448024
18,GW230709_122727,data/gwtc4p1/pe_hdf5/GW230709_122727/IGWN-GWTC4p1-18965dda8_5-GW230709_122727-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,4.218960394458412,1.1384573913995144,1.1200929292146154e-05,3293.3882638086184
19,GW230712_090405,data/gwtc4p1/pe_hdf5/GW230712_090405/IGWN-GWTC4p1-18965dda8_5-GW230712_090405-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,5.111977519657075,1.1122955589656949,2.1612833731450427e-05,1546.7001624553225
